"index","brand","model","mileage","year","fuel_type","ownerCount","accidentCount","transmission","city","state","body_style","engine","drive_train","price"
0,"Mercedes-Benz","GLC",18386,2019,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",37906
1,"Mercedes-Benz","C-Class",41829,2018,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",31901
2,"Mercedes-Benz","C-Class",22667,2018,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",33906
3,"Ferrari","612 Scaglietti",15104,2005,"Gas",2,0,"Automatic","New York","NY","Coupe","5.8L V-12 Gas","RWD",110500
4,"Mercedes-Benz","GLA",33163,2019,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",32904
5,"Mercedes-Benz","GLE",18421,2018,"Gas",1,1,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",43901
6,"Mercedes-Benz","C-Class",9013,2021,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",46374
7,"Mercedes-Benz","GLE",42197,2019,"Gas",1,0,"Automatic","New York","NY","SUV","3.0L V-6 Gas Turbocharged","AWD",43903
8,"Mercedes-Benz","CLA",31553,2018,"Gas",2,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",26907
9,"Lexus","ES",24124,2019,"Gas",1,0,"Automatic","New York","NY","Sedan","3.5L V-6 Gas","FWD",36469
10,"Mercedes-Benz","GLC",38815,2019,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",38901
11,"Lexus","RX",17248,2019,"Gas",1,0,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",41469
12,"Toyota","RAV4",17091,2019,"Gas",1,0,"Automatic","New York","NY","SUV","2.5L Inline-4 Gas","AWD",31569
13,"Nissan","Rogue",40761,2020,"Gas",1,1,"Automatic","Middle Village","NY","SUV","2.5L Inline-4 Gas","AWD",20995
14,"Ford","F-150",71894,2014,"Gas",3,0,"Automatic","Carlstadt","NJ","Pickup Truck","5.0L V-8 Gas","4WD",19942
15,"Mercedes-Benz","GLS",25383,2019,"Gas",2,0,"Automatic","New York","NY","SUV","3.0L V-6 Gas Turbocharged","AWD",61901
16,"Mercedes-Benz","GLE",28252,2019,"Gas",1,0,"Automatic","New York","NY","SUV","3.0L V-6 Gas Turbocharged","AWD",46904
17,"Mercedes-Benz","C-Class",48264,2019,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",36902
18,"Mercedes-Benz","GLS",20000,2019,"Gas",1,0,"Automatic","New York","NY","SUV","3.0L V-6 Gas Turbocharged","AWD",63901
19,"Nissan","Rogue",45032,2018,"Gas",1,1,"Automatic","Middle Village","NY","SUV","2.5L Inline-4 Gas","AWD",17995
20,"Mercedes-Benz","GLC",2123,2021,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",48902
21,"Toyota","Corolla",79595,2016,"Gas",1,1,"Automatic","Union City","NJ","Sedan","1.8L Inline-4 Gas","FWD",13995
22,"Mercedes-Benz","C-Class",1318,2021,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",48901
23,"Lexus","RX",9822,2018,"Gas",1,0,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",39469
24,"Mercedes-Benz","CLA",41742,2018,"Gas",1,1,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",26906
25,"Mercedes-Benz","GLE",48671,2018,"Gas",1,0,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",39906
26,"Mercedes-Benz","C-Class",13577,2019,"Gas",2,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",38901
27,"Honda","Accord",109710,2015,"Gas",2,0,"Manual","Union City","NJ","Sedan","2.4L Inline-4 Gas","FWD",13995
28,"Mercedes-Benz","GL",99603,2016,"Gas",3,0,"Automatic","Union City","NJ","SUV","3.0L V-6 Gas Turbocharged","AWD",27995
29,"Mercedes-Benz","GLC",11933,2021,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","RWD",44500
30,"Lexus","IS",45676,2018,"Gas",1,2,"Automatic","New York","NY","Sedan","3.5L V-6 Gas","AWD",28969
31,"Acura","ZDX",117791,2013,"Gas",2,1,"Automatic","Union City","NJ","SUV","3.7L V-6 Gas","AWD",17995
32,"Lexus","RX",72044,2018,"Gas",1,2,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",32969
33,"Honda","CR-V",73325,2018,"Gas",1,0,"Automatic","Union City","NJ","SUV","1.5L Inline-4 Gas Turbocharged","AWD",24995
34,"Lexus","ES",96623,2014,"Gas",2,0,"Automatic","Union City","NJ","Sedan","3.5L V-6 Gas","FWD",17995
35,"Porsche","Macan",30935,2017,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",39995
36,"Mercedes-Benz","GLC",38374,2019,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",36902
37,"Mercedes-Benz","A-Class",10306,2021,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",38493
38,"Mercedes-Benz","E-Class",25147,2018,"Gas",1,0,"Automatic","New York","NY","Wagon","3.0L V-6 Gas Turbocharged","AWD",55904
39,"Subaru","Outback",22767,2018,"Gas",1,0,"Automatic","Brooklyn","NY","SUV","2.5L Flat-4 Gas","AWD",21895
40,"Porsche","Macan",2539,2021,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",57995
41,"Nissan","Altima",20208,2018,"Gas",1,1,"Automatic","New York","NY","Sedan","2.5L Inline-4 Gas","FWD",20069
42,"Mercedes-Benz","E-Class",15377,2018,"Gas",1,0,"Automatic","New York","NY","Convertible","3.0L V-6 Gas Turbocharged","AWD",60906
43,"Lexus","RX",35638,2019,"Gas",1,0,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",44469
44,"Honda","HR-V",28304,2019,"Gas",1,0,"Automatic","Union City","NJ","SUV","1.8L Inline-4 Gas","AWD",22995
45,"Toyota","Camry",36906,2018,"Gas",1,0,"Automatic","Union City","NJ","Sedan","2.5L Inline-4 Gas","FWD",22495
46,"Lexus","RX",32576,2017,"Gas",2,1,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",34269
47,"Mercedes-Benz","GLS",45139,2019,"Gas",1,0,"Automatic","New York","NY","SUV","3.0L V-6 Gas Turbocharged","AWD",59901
48,"Mercedes-Benz","E-Class",25844,2019,"Gas",1,0,"Automatic","New York","NY","Sedan","4.0L V-8 Gas Turbocharged","AWD",99905
49,"Mercedes-Benz","E-Class",13499,2019,"Gas",1,1,"Automatic","New York","NY","Coupe","3.0L V-6 Gas Turbocharged","AWD",58902
50,"Jeep","Wrangler",54656,2016,"Gas",1,0,"Automatic","Secaucus","NJ","SUV","3.6L V-6 Gas","4WD",29286
51,"Mercedes-Benz","CLA",31904,2019,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",31905
52,"BMW","X5",82113,2018,"Gas",1,0,"Automatic","Newark","NJ","SUV","3.0L Inline-6 Gas Turbocharged","AWD",27995
53,"Jeep","Grand Cherokee",18546,2018,"Gas",2,0,"Automatic","Secaucus","NJ","SUV","3.6L V-6 Gas","4WD",34886
54,"Nissan","Rogue",69043,2019,"Gas",1,1,"Automatic","Forest Hills","NY","SUV","2.5L Inline-4 Gas","FWD",17540
55,"Volvo","C70",159714,2010,"Gas",4,0,"Automatic","Brooklyn","NY","Convertible","2.5L Inline-5 Gas Turbocharged","FWD",7450
56,"Jeep","Grand Cherokee",46349,2018,"Gas",1,0,"Automatic","Middle Village","NY","SUV","3.6L V-6 Gas","4WD",28495
57,"Jeep","Grand Cherokee",68056,2019,"Gas",2,0,"Automatic","Hillside","NJ","SUV","3.6L V-6 Gas","4WD",25995
58,"Mercedes-Benz","Metris Passenger Van",26541,2018,"Gas",1,0,"Automatic","New York","NY","Passenger Van","2.0L Inline-4 Gas Turbocharged","RWD",36901
59,"Mercedes-Benz","GLE",42613,2018,"Gas",2,0,"Automatic","New York","NY","SUV","3.0L V-6 Gas Turbocharged","AWD",61595
60,"GMC","Sierra 1500",91687,2015,"Gas",2,0,"Automatic","Union City","NJ","Pickup Truck","5.3L V-8 Gas","4WD",29995
61,"Lexus","NX",49707,2019,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",32569
62,"Lexus","GX",31917,2019,"Gas",1,0,"Automatic","New York","NY","SUV","4.6L V-8 Gas","4WD",44469
63,"Nissan","Rogue",18474,2019,"Gas",2,0,"Automatic","Jackson Heights","NY","SUV","2.5L Inline-4 Gas","AWD",22688
64,"Ram","ProMaster City Wagon",102358,2017,"Gas",1,0,"Automatic","Union City","NJ","Passenger Van","2.4L Inline-4 Gas Turbocharged","FWD",17995
65,"Mercedes-Benz","GLE",27320,2019,"Gas",2,0,"Automatic","New York","NY","SUV","3.0L V-6 Gas Turbocharged","AWD",46907
66,"Toyota","Corolla",49538,2020,"Gas",1,0,"Automatic","Jersey City","NJ","Sedan","1.8L Inline-4 Gas","FWD",18097
67,"Lexus","ES",23718,2018,"Gas",1,0,"Automatic","New York","NY","Sedan","3.5L V-6 Gas","FWD",32069
68,"Lexus","GX",28528,2019,"Gas",1,0,"Automatic","New York","NY","SUV","4.6L V-8 Gas","4WD",44969
69,"Lexus","RX",34271,2018,"Gas",1,0,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",37069
70,"Chrysler","200",57145,2015,"Gas",1,0,"Automatic","Carlstadt","NJ","Sedan","2.4L Inline-4 Gas","FWD",13542
71,"Jeep","Renegade",190359,2016,"Gas",3,0,"Automatic","Ridgewood","NY","SUV","2.4L Inline-4 Gas Turbocharged","4WD",8995
72,"Jeep","Wrangler",6322,2017,"Gas",1,0,"Automatic","New York","NY","SUV","3.6L V-6 Gas","4WD",39995
73,"Mercedes-Benz","E-Class",10959,2021,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","RWD",58070
74,"Lexus","ES",23365,2019,"Hybrid",1,1,"Automatic","New York","NY","Sedan","2.5L Inline-4 Hybrid","FWD",38469
75,"Nissan","Rogue",47457,2018,"Gas",1,0,"Automatic","Woodside","NY","SUV","2.5L Inline-4 Gas","AWD",21889
76,"Mercedes-Benz","GLS",26386,2019,"Gas",1,0,"Automatic","New York","NY","SUV","3.0L V-6 Gas Turbocharged","AWD",59901
77,"Lexus","NX",23444,2019,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",34969
78,"Volkswagen","Tiguan",39970,2020,"Gas",1,0,"Automatic","Jersey City","NJ","SUV","2.0L Inline-4 Gas Turbocharged","FWD",24597
79,"Nissan","Pathfinder",103760,2018,"Gas",1,1,"Automatic","Brooklyn","NY","SUV","3.5L V-6 Gas","4WD",18995
80,"Audi","A4",57930,2017,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",25769
81,"Mercedes-Benz","GLA",7444,2019,"Gas",2,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",37901
82,"Ford","Transit Connect Van",54628,2017,"Gas",1,0,"Automatic","Brooklyn","NY","Cargo Van","2.5L Inline-4 Gas","FWD",16995
83,"Jeep","Grand Cherokee",71290,2019,"Gas",1,0,"Automatic","Hillside","NJ","SUV","3.6L V-6 Gas","4WD",25995
84,"Mercedes-Benz","E-Class",8691,2019,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",49902
85,"Mercedes-Benz","C-Class",35233,2015,"Gas",2,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",26904
86,"Nissan","Rogue",147542,2016,"Gas",2,3,"Automatic","Ridgewood","NY","SUV","2.5L Inline-4 Gas","AWD",10995
87,"Honda","HR-V",106701,2019,"Gas",2,2,"Automatic","Brooklyn","NY","SUV","1.8L Inline-4 Gas","AWD",16995
88,"Honda","CR-V",32417,2013,"Gas",1,0,"Automatic","New York","NY","SUV","2.4L Inline-4 Gas","AWD",17869
89,"Volkswagen","Jetta",1314,2019,"Gas",2,0,"Automatic","Woodside","NY","Sedan","1.4L Inline-4 Gas Turbocharged","FWD",20976
90,"Nissan","Pathfinder",125923,2018,"Gas",2,2,"Automatic","Ridgewood","NY","SUV","3.5L V-6 Gas","4WD",16995
91,"Lexus","RX",11850,2018,"Gas",1,0,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",39269
92,"Ram","ProMaster City Cargo Van",124599,2018,"Gas",2,0,"Automatic","Union City","NJ","Cargo Van","2.4L Inline-4 Gas Turbocharged","FWD",17995
93,"Mercedes-Benz","CL",90582,2009,"Gas",1,1,"Automatic","Union City","NJ","Coupe","5.5L V-8 Gas","AWD",17995
94,"Audi","Q7",58642,2017,"Gas",1,1,"Automatic","Secaucus","NJ","SUV","3.0L V-6 Gas Supercharged","AWD",33886
95,"Volvo","XC60",13635,2019,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Supercharged and Turbocharged","AWD",40995
96,"Nissan","Sentra",73033,2019,"Gas",2,0,"Automatic","Union City","NJ","Sedan","1.8L Inline-4 Gas","FWD",14995
97,"Mercedes-Benz","C-Class",12804,2021,"Gas",1,0,"Automatic","New York","NY","Sedan","2.0L Inline-4 Gas Turbocharged","AWD",48470
98,"Ford","F-150",27418,2019,"Gas",1,0,"Automatic","Woodside","NY","Pickup Truck","3.3L V-6 Gas","4WD",34715
99,"Lexus","RX",13484,2018,"Gas",1,1,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",40569
100,"Volvo","XC60",42015,2019,"Gas",2,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",36244
101,"Nissan","Sentra",32282,2019,"Gas",1,0,"Automatic","Newark","NJ","Sedan","1.8L Inline-4 Gas","FWD",14495
102,"Hyundai","Sonata",34240,2019,"Gas",1,0,"Automatic","Hackensack","NJ","Sedan","2.4L Inline-4 Gas","FWD",18495
103,"GMC","Terrain",42004,2020,"Gas",1,0,"Automatic","New York","NY","SUV","1.5L Inline-4 Gas Turbocharged","AWD",25997
104,"INFINITI","QX60",25841,2018,"Gas",1,0,"Automatic","Englewood","NJ","SUV","3.5L V-6 Gas","AWD",31990
105,"Toyota","Camry",31812,2019,"Gas",1,0,"Automatic","Hasbrouck Heights","NJ","Sedan","2.5L Inline-4 Gas","FWD",23995
106,"Ford","F-150",149204,2016,"Gas",2,1,"Automatic","Ridgewood","NY","Pickup Truck","3.5L V-6 Gas Turbocharged","4WD",19995
107,"Lexus","GX",28139,2019,"Gas",1,1,"Automatic","New York","NY","SUV","4.6L V-8 Gas","4WD",44769
108,"Lexus","RX",10356,2018,"Gas",1,0,"Automatic","New York","NY","SUV","3.5L V-6 Gas","AWD",40069
109,"Mercedes-Benz","GLS",50372,2017,"Gas",2,0,"Automatic","Secaucus","NJ","SUV","3.0L V-6 Gas Turbocharged","AWD",41686
110,"Volkswagen","Atlas",143385,2018,"Gas",1,0,"Automatic","Brooklyn","NY","SUV","3.6L V-6 Gas","AWD",19590
111,"Porsche","Macan",4503,2021,"Gas",1,0,"Automatic","New York","NY","SUV","2.0L Inline-4 Gas Turbocharged","AWD",58995
112,"Honda","HR-V",71364,2016,"Gas",2,0,"Automatic","Union City","NJ","SUV","1.8L Inline-4 Gas","AWD",17995
113,"Porsche","Panamera",13629,2018,"Gas",1,0,"Automatic","New York","NY","Hatchback","3.0L V-6 Gas Turbocharged","RWD",79995
114,"Mercedes-Benz","GLS",54316,2018,"Gas",1,0,"Automatic","New York","NY","SUV","3.0L V-6 Gas Turbocharged","AWD",53901
115,"Chevrolet","Malibu",44302,2020,"Gas",1,0,"Automatic","New York","NY","Sedan","1.5L Inline-4 Gas Turbocharged","FWD",20597
116,"Ford","Mustang",34406,2020,"Gas",1,1,"Automatic","Middle Village","NY","Convertible","2.3L Inline-4 Gas Turbocharged","RWD",26495
117,"Toyota","Corolla",39275,2020,"Gas",1,0,"Automatic","Jersey City","NJ","Sedan","1.8L Inline-4 Gas","FWD",18897
